date,open,close,high,low
2024-09-24,27.277,27.607,27.727,26.917
2024-09-25,27.767,27.777,28.487,27.677
2024-09-26,27.887,27.977,27.977,27.557
2024-09-27,28.077,27.837,28.077,26.907
2024-09-30,27.677,28.897,29.347,27.457
2024-10-08,30.857,28.067,31.127,27.727
2024-10-09,27.827,27.397,28.237,27.067
2024-10-10,27.447,28.027,28.677,27.437
2024-10-11,28.047,28.057,28.597,27.847
2024-10-14,28.067,28.197,28.397,27.947
2024-10-15,28.147,27.727,28.237,27.727
2024-10-16,27.647,27.557,28.167,27.457
2024-10-17,27.577,27.147,27.637,27.147
2024-10-18,27.167,27.277,27.517,26.877
2024-10-21,27.207,26.807,27.207,26.697
2024-10-22,26.807,26.927,27.207,26.677
2024-10-23,26.927,26.907,27.177,26.847
2024-10-24,26.907,26.847,26.977,26.597
2024-10-25,26.847,26.387,26.927,26.257
2024-10-28,26.387,26.387,26.387,26.007
2024-10-29,26.387,26.557,26.877,26.197
2024-10-30,26.567,26.557,26.737,26.297
2024-10-31,26.827,26.427,26.857,26.267
2024-11-01,26.357,26.827,26.847,26.237
2024-11-04,26.827,26.747,26.837,26.457
2024-11-05,26.657,26.707,26.787,26.567
2024-11-06,26.677,26.347,26.747,26.307
2024-11-07,26.247,26.677,26.697,26.237
2024-11-08,26.687,26.467,26.807,26.377
2024-11-11,26.307,26.327,26.477,26.207
2024-11-12,26.327,25.817,26.477,25.797
2024-11-13,25.727,26.237,26.337,25.627
2024-11-14,26.197,26.267,26.537,26.077
2024-11-15,26.217,25.947,26.337,25.947
2024-11-18,26.007,26.267,26.387,25.937
2024-11-19,26.247,26.217,26.347,26.017
2024-11-20,26.217,26.467,26.597,26.057
2024-11-21,26.407,26.517,26.547,26.387
2024-11-22,26.517,26.107,26.627,26.107
2024-11-25,26.237,25.977,26.437,25.877
2024-11-26,25.947,25.847,26.037,25.757
2024-11-27,25.827,26.237,26.297,25.827
2024-11-28,26.217,26.277,26.327,26.017
2024-11-29,26.287,26.167,26.547,26.147
2024-12-02,26.237,26.457,26.557,26.147
2024-12-03,26.467,26.797,26.947,26.387
2024-12-04,26.797,27.297,27.377,26.657
2024-12-05,27.247,27.147,27.527,27.047
2024-12-06,27.167,27.027,27.387,26.997
2024-12-09,26.977,27.257,27.357,26.777
2024-12-10,27.247,26.867,27.427,26.807
2024-12-11,26.947,27.017,27.067,26.817
2024-12-12,26.997,27.247,27.327,26.977
2024-12-13,27.287,27.567,27.727,27.187
2024-12-16,27.627,28.127,28.237,27.627
2024-12-17,28.177,28.117,28.397,28.037
2024-12-18,28.227,28.267,28.667,27.977
2024-12-19,28.107,28.107,28.507,28.057
2024-12-20,28.057,28.047,28.277,27.927
2024-12-23,28.037,28.417,28.657,27.957
2024-12-24,28.317,28.657,28.697,28.207
2024-12-25,28.667,28.637,28.777,28.517
2024-12-26,28.637,28.167,28.677,28.137
2024-12-27,28.147,28.457,28.477,28.017
2024-12-30,28.457,28.257,28.677,28.187
2024-12-31,28.247,28.397,28.617,28.207
2025-01-02,28.357,28.047,28.577,27.927
2025-01-03,28.057,27.847,28.277,27.697
2025-01-06,27.947,27.737,27.947,27.357
2025-01-07,27.727,27.547,27.737,27.387
2025-01-08,27.517,27.847,28.007,27.477
2025-01-09,27.787,27.637,27.907,27.487
2025-01-10,27.637,27.717,27.897,27.357
