交易日期,开盘,收盘,最高,最低,成交量
2024-09-24,96.606,99.396,100.106,96.086,117698.000
2024-09-25,100.196,99.106,103.206,98.766,122722.000
2024-09-26,99.106,100.136,100.206,98.516,112747.000
2024-09-27,100.196,99.496,100.506,96.576,278377.000
2024-09-30,100.216,104.906,107.006,98.816,497962.000
2024-10-08,113.216,105.346,114.206,101.916,450180.000
2024-10-09,103.706,101.826,105.206,100.906,251778.000
2024-10-10,101.826,104.006,106.706,101.786,257625.000
2024-10-11,103.206,103.776,105.206,102.106,180201.000
2024-10-14,103.146,106.006,106.906,103.146,184979.000
2024-10-15,105.706,102.846,105.886,102.786,133334.000
2024-10-16,102.336,102.296,103.516,101.676,83983.000
2024-10-17,102.976,100.846,103.106,100.666,100150.000
2024-10-18,100.826,102.306,103.376,100.276,129893.000
2024-10-21,102.316,101.506,102.336,100.586,156253.000
2024-10-22,100.636,99.586,100.766,99.006,213408.000
2024-10-23,99.586,99.556,100.206,99.086,122122.000
2024-10-24,98.996,97.426,98.996,96.856,209446.000
2024-10-25,97.216,97.136,97.786,96.536,161234.000
2024-10-28,97.086,97.496,97.536,96.606,116233.000
2024-10-29,97.576,97.406,97.886,96.206,164929.000
2024-10-30,97.116,97.386,97.656,96.826,92433.000
2024-10-31,97.326,97.856,98.346,97.326,128749.000
2024-11-01,97.706,98.606,98.886,97.396,130617.000
2024-11-04,98.656,98.026,98.946,97.206,105794.000
2024-11-05,97.596,98.056,98.056,97.266,170551.000
2024-11-06,97.746,97.436,98.146,97.236,145550.000
2024-11-07,97.196,98.066,98.066,96.716,153587.000
2024-11-08,98.066,98.016,98.646,97.206,166208.000
2024-11-11,97.806,97.246,97.806,96.906,130111.000
2024-11-12,97.176,96.056,97.316,95.726,152354.000
2024-11-13,95.776,100.236,101.806,95.706,365953.000
2024-11-14,98.976,98.866,99.806,98.016,165449.000
2024-11-15,98.606,100.236,103.206,98.426,267658.000
2024-11-18,99.806,99.876,102.006,99.216,190348.000
2024-11-19,99.606,98.886,99.706,98.086,124379.000
2024-11-20,98.376,99.086,99.386,97.526,109089.000
2024-11-21,98.786,98.776,99.586,98.436,64389.000
2024-11-22,98.586,98.606,99.406,98.366,99551.000
2024-11-25,98.506,98.906,100.186,98.086,98931.000
2024-11-26,98.706,100.626,100.806,98.426,132971.000
2024-11-27,100.626,101.566,101.896,100.356,128616.000
2024-11-28,101.126,101.256,101.806,100.606,82433.000
2024-11-29,101.316,101.586,103.336,100.906,134583.000
2024-12-02,101.106,100.676,101.486,100.016,107177.000
2024-12-03,100.506,102.166,102.296,100.186,113429.000
2024-12-04,102.056,103.306,103.866,101.806,117195.000
2024-12-05,103.206,102.656,103.776,102.316,91749.000
2024-12-06,102.206,102.426,103.406,102.206,97825.000
2024-12-09,102.436,102.496,103.726,101.506,111802.000
2024-12-10,102.506,102.106,103.206,101.536,171271.000
2024-12-11,101.806,101.786,102.326,101.266,87762.000
2024-12-12,101.596,102.906,102.986,101.406,92155.000
2024-12-13,102.906,103.996,104.856,102.286,180291.000
2024-12-16,103.836,107.356,108.206,103.806,250346.000
2024-12-17,108.046,106.486,110.186,106.316,140578.000
2024-12-18,106.386,109.186,109.986,106.386,112773.000
2024-12-19,108.806,109.056,110.196,107.886,98609.000
2024-12-20,108.206,106.606,108.906,106.306,123214.000
2024-12-23,106.636,109.056,109.706,106.636,106505.000
2024-12-24,108.616,110.096,110.706,108.246,102446.000
2024-12-25,109.986,110.796,112.086,109.706,107415.000
2024-12-26,110.706,109.586,110.776,108.236,120507.000
2024-12-27,109.566,109.806,110.086,108.856,53781.000
2024-12-30,109.456,111.566,111.986,109.346,117181.000
2024-12-31,111.436,113.366,114.716,111.216,152821.000
2025-01-02,113.126,110.206,113.856,108.756,151277.000
2025-01-03,109.316,109.286,110.106,107.826,112559.000
2025-01-06,109.676,106.356,110.556,105.476,169949.000
2025-01-07,106.106,106.436,106.696,103.416,154753.000
2025-01-08,105.806,107.086,107.686,105.036,136953.000
2025-01-09,106.906,105.256,106.906,104.386,87209.000
2025-01-10,105.206,104.506,105.796,104.116,88612.000
2025-01-13,104.206,103.606,105.666,102.496,106478.000
2025-01-14,103.466,103.546,103.756,102.166,174966.000
2025-01-15,103.136,103.596,104.686,102.606,114361.000
2025-01-16,103.606,104.496,105.056,103.196,114225.000
2025-01-17,104.206,104.306,105.706,103.686,91778.000
2025-01-20,104.016,103.706,105.206,103.256,90593.000
2025-01-21,103.696,102.406,103.706,102.086,131944.000
2025-01-22,101.806,103.526,103.676,101.806,118888.000
2025-01-23,104.006,104.756,106.566,103.896,139355.000
2025-01-24,104.516,104.226,105.406,103.956,98781.000
2025-01-27,104.256,106.176,106.406,103.906,140111.000
2025-02-05,105.596,103.506,105.806,103.116,135661.000
2025-02-06,103.396,103.546,103.806,102.966,101464.000
2025-02-07,103.216,103.346,103.886,102.216,189449.000
2025-02-10,104.116,105.206,108.906,103.896,345047.000
2025-02-11,104.976,104.996,106.876,104.206,178388.000
2025-02-12,104.746,105.926,106.406,104.456,153941.000
2025-02-13,105.926,105.816,107.256,105.336,161947.000
2025-02-14,105.696,107.856,108.146,104.916,227478.000
2025-02-17,108.476,108.416,110.336,107.316,259809.000
2025-02-18,108.316,107.196,109.446,106.706,159498.000
