date,open,close,high,low
2024-09-24,63.631,64.071,64.281,62.231
2024-09-25,64.241,66.141,67.531,64.241
2024-09-26,66.031,69.591,69.711,65.821
2024-09-27,70.781,69.031,72.431,67.181
2024-09-30,69.191,72.091,72.931,68.061
2024-10-08,79.701,76.221,79.701,74.761
2024-10-09,74.431,71.041,75.351,70.051
2024-10-10,71.981,74.331,75.411,71.901
2024-10-11,74.031,72.801,74.261,71.931
2024-10-14,73.061,75.031,75.321,72.631
2024-10-15,75.031,72.031,75.031,72.031
2024-10-16,70.731,71.271,71.531,69.761
2024-10-17,71.271,69.111,71.561,68.931
2024-10-18,69.111,71.041,72.231,68.681
2024-10-21,71.381,70.111,72.011,69.311
2024-10-22,70.381,72.531,72.991,70.171
2024-10-23,72.631,72.411,73.811,72.031
2024-10-24,72.141,71.671,72.491,71.331
2024-10-25,71.451,71.301,71.891,70.801
2024-10-28,71.521,70.901,71.611,70.041
2024-10-29,70.641,70.101,71.531,69.831
2024-10-30,69.731,68.781,70.381,68.151
2024-10-31,69.001,67.451,69.721,67.131
2024-11-01,67.471,68.281,69.031,66.411
2024-11-04,68.171,68.871,69.401,67.731
2024-11-05,68.531,69.161,69.511,67.241
2024-11-06,69.171,67.201,69.171,67.001
2024-11-07,66.381,68.131,68.131,65.921
2024-11-08,68.691,68.611,69.791,67.131
2024-11-11,67.261,67.631,67.871,66.851
2024-11-12,67.941,68.421,70.921,67.821
2024-11-13,68.511,69.431,70.331,68.491
2024-11-14,69.511,69.671,70.921,68.361
2024-11-15,69.181,68.281,70.141,67.881
2024-11-18,68.201,67.081,69.011,66.861
2024-11-19,67.081,67.341,67.781,66.731
2024-11-20,67.411,67.461,67.681,66.771
2024-11-21,67.401,66.871,67.421,66.581
2024-11-22,66.861,66.421,68.851,66.251
2024-11-25,66.141,66.421,68.411,66.141
2024-11-26,66.141,66.631,67.231,65.381
2024-11-27,66.351,67.351,67.531,65.771
2024-11-28,68.031,66.221,68.031,65.791
2024-11-29,65.711,66.161,66.801,65.581
2024-12-02,66.181,66.111,66.561,65.261
2024-12-03,66.031,65.881,66.031,65.431
2024-12-04,65.911,67.521,68.021,65.631
2024-12-05,67.631,67.751,68.911,67.451
2024-12-06,67.811,68.881,69.161,67.541
2024-12-09,68.041,69.161,69.911,67.341
2024-12-10,72.541,69.871,72.691,69.821
2024-12-11,69.731,71.131,71.361,69.631
2024-12-12,71.231,71.591,71.781,70.401
2024-12-13,71.231,70.031,71.261,69.361
2024-12-16,70.131,69.251,70.481,68.681
2024-12-17,69.231,69.701,70.711,68.841
2024-12-18,69.691,70.131,70.611,69.611
2024-12-19,69.891,70.471,71.261,69.271
2024-12-20,70.461,70.031,70.821,69.691
2024-12-23,70.031,70.641,71.281,69.981
2024-12-24,70.431,72.281,72.411,70.431
2024-12-25,72.331,71.571,72.631,71.071
2024-12-26,71.291,72.011,72.271,70.681
2024-12-27,72.011,71.451,72.081,70.831
2024-12-30,71.031,71.351,72.211,70.951
2024-12-31,71.131,71.251,72.081,70.721
2025-01-02,71.431,71.351,73.231,71.031
2025-01-03,71.031,70.721,72.091,69.931
2025-01-06,70.711,71.411,72.311,70.311
2025-01-07,71.031,71.961,72.791,70.531
2025-01-08,71.541,73.611,73.691,71.461
2025-01-09,73.731,74.761,75.031,73.231
2025-01-10,74.761,72.401,74.921,72.401
2025-01-13,71.641,70.331,72.051,69.961
2025-01-14,70.331,70.651,71.381,69.461
2025-01-15,70.671,69.851,71.801,69.631
2025-01-16,70.021,70.121,71.481,69.931
2025-01-17,70.111,70.381,70.901,69.661
2025-01-20,71.131,70.921,72.771,70.911
2025-01-21,71.291,70.431,71.321,70.251
2025-01-22,70.411,69.031,70.411,68.311
2025-01-23,69.431,69.441,69.951,68.431
2025-01-24,69.041,68.851,69.671,68.581
2025-01-27,68.891,69.911,70.331,68.651
2025-02-05,69.431,68.241,69.721,67.711
2025-02-06,68.211,68.301,68.591,67.461
2025-02-07,68.431,69.471,69.471,67.701
2025-02-10,69.351,69.041,69.361,68.531
2025-02-11,69.471,69.731,69.891,68.641
2025-02-12,69.491,69.311,69.621,68.711
2025-02-13,69.031,68.171,69.421,68.161
2025-02-14,68.151,68.521,68.721,67.931
2025-02-17,68.281,68.071,68.501,67.281
2025-02-18,68.021,67.931,68.681,67.561
2025-02-19,67.331,67.481,68.001,67.031
2025-02-20,67.441,67.261,67.741,67.091
2025-02-21,67.051,66.621,67.261,66.231
2025-02-24,66.681,66.921,67.531,66.311
2025-02-25,66.531,65.061,66.701,65.011
2025-02-26,64.741,66.151,66.191,64.731
2025-02-27,67.031,68.511,68.741,66.661
2025-02-28,68.781,69.081,69.531,68.131
2025-03-03,68.731,67.031,69.021,66.881
2025-03-04,67.311,68.001,68.501,67.311
2025-03-05,67.931,67.781,68.181,67.231
2025-03-06,67.941,67.171,68.001,66.451
2025-03-07,67.151,66.821,67.271,66.291
2025-03-10,66.841,67.101,67.291,66.541
2025-03-11,66.531,66.961,67.471,66.331
2025-03-12,67.011,66.131,67.011,66.131
2025-03-13,66.041,66.041,66.681,65.841
2025-03-14,66.061,67.901,68.131,65.851
2025-03-17,68.551,67.911,68.551,67.631
2025-03-18,68.031,71.011,72.131,67.641
2025-03-19,73.261,72.541,73.971,71.061
2025-03-20,72.431,71.201,72.881,71.131
2025-03-21,70.801,71.311,72.461,70.801
2025-03-24,70.911,72.091,72.531,70.851
2025-03-25,72.841,72.891,73.531,72.401
2025-03-26,72.501,72.821,73.431,71.901
2025-03-27,72.821,72.531,73.531,72.351
2025-03-28,72.241,72.901,73.211,71.711
2025-03-31,72.931,74.531,76.531,72.931
2025-04-01,74.131,71.421,74.811,71.231
2025-04-02,71.381,71.991,72.821,71.221
2025-04-03,70.631,69.391,70.861,69.181
2025-04-07,64.251,63.211,65.501,62.051
2025-04-08,64.031,66.261,66.531,63.821
2025-04-09,65.221,65.701,66.531,64.451
2025-04-10,66.631,67.121,67.621,66.161
2025-04-11,66.551,66.521,66.771,65.661
2025-04-14,66.751,65.951,66.931,65.741
2025-04-15,66.131,67.511,67.861,65.721
2025-04-16,67.221,67.031,67.511,66.401
2025-04-17,66.771,66.981,67.201,66.371
2025-04-18,66.981,66.951,67.361,66.501
2025-04-21,66.811,67.421,67.641,66.531
2025-04-22,67.331,67.751,68.261,67.241
2025-04-23,68.131,67.881,68.451,67.831
2025-04-24,68.431,68.981,69.221,67.991
2025-04-25,68.981,68.781,69.031,68.411
2025-04-28,69.421,69.261,69.611,68.831
2025-04-29,69.291,70.231,70.401,68.891
2025-04-30,71.031,69.651,71.151,69.481
2025-05-06,70.261,70.081,70.411,69.131
2025-05-07,70.801,70.391,71.211,70.031
