交易日期,开盘,收盘,最高,最低,成交量
2024-09-24,63.631,64.071,64.281,62.231,500902.000
2024-09-25,64.241,66.141,67.531,64.241,627661.000
2024-09-26,66.031,69.591,69.711,65.821,501342.000
2024-09-27,70.781,69.031,72.431,67.181,857448.000
2024-09-30,69.191,72.091,72.931,68.061,1251665.000
2024-10-08,79.701,76.221,79.701,74.761,1352393.000
2024-10-09,74.431,71.041,75.351,70.051,895501.000
2024-10-10,71.981,74.331,75.411,71.901,673034.000
2024-10-11,74.031,72.801,74.261,71.931,380602.000
2024-10-14,73.061,75.031,75.321,72.631,462828.000
2024-10-15,75.031,72.031,75.031,72.031,375833.000
2024-10-16,70.731,71.271,71.531,69.761,342829.000
2024-10-17,71.271,69.111,71.561,68.931,394376.000
2024-10-18,69.111,71.041,72.231,68.681,427851.000
2024-10-21,71.381,70.111,72.011,69.311,343229.000
2024-10-22,70.381,72.531,72.991,70.171,404060.000
2024-10-23,72.631,72.411,73.811,72.031,268313.000
2024-10-24,72.141,71.671,72.491,71.331,171087.000
2024-10-25,71.451,71.301,71.891,70.801,210573.000
2024-10-28,71.521,70.901,71.611,70.041,280591.000
2024-10-29,70.641,70.101,71.531,69.831,297272.000
2024-10-30,69.731,68.781,70.381,68.151,404137.000
2024-10-31,69.001,67.451,69.721,67.131,500469.000
2024-11-01,67.471,68.281,69.031,66.411,416515.000
2024-11-04,68.171,68.871,69.401,67.731,232316.000
2024-11-05,68.531,69.161,69.511,67.241,416967.000
2024-11-06,69.171,67.201,69.171,67.001,525931.000
2024-11-07,66.381,68.131,68.131,65.921,547746.000
2024-11-08,68.691,68.611,69.791,67.131,593374.000
2024-11-11,67.261,67.631,67.871,66.851,442079.000
2024-11-12,67.941,68.421,70.921,67.821,575477.000
2024-11-13,68.511,69.431,70.331,68.491,458417.000
2024-11-14,69.511,69.671,70.921,68.361,408435.000
2024-11-15,69.181,68.281,70.141,67.881,342825.000
2024-11-18,68.201,67.081,69.011,66.861,319386.000
2024-11-19,67.081,67.341,67.781,66.731,226652.000
2024-11-20,67.411,67.461,67.681,66.771,226371.000
2024-11-21,67.401,66.871,67.421,66.581,216528.000
2024-11-22,66.861,66.421,68.851,66.251,388458.000
2024-11-25,66.141,66.421,68.411,66.141,385868.000
2024-11-26,66.141,66.631,67.231,65.381,274188.000
2024-11-27,66.351,67.351,67.531,65.771,264825.000
2024-11-28,68.031,66.221,68.031,65.791,323290.000
2024-11-29,65.711,66.161,66.801,65.581,277501.000
2024-12-02,66.181,66.111,66.561,65.261,357906.000
2024-12-03,66.031,65.881,66.031,65.431,313174.000
